StudentID,Age,Classe,HoursTotal_L1,Genre,Zone,Pretest,Final,Pretest_i,Final_i
783,11.0,T2,20,F,3,4,3,4,3
784,9.0,T2,20,F,3,4,3,4,3
785,9.0,T2,20,F,3,4,3,4,3
786,9.0,T2,20,F,3,4,3,4,3
787,9.0,T2,20,F,3,4,3,4,3
788,9.0,T2,20,F,3,4,3,4,3
789,11.0,T2,20,F,3,4,3,4,3
790,10.0,T2,20,F,3,4,3,4,3
791,12.0,T2,20,F,3,4,5,4,5
792,9.0,T2,20,F,3,4,5,4,5
793,11.0,T2,20,F,3,4,3,4,3
794,7.0,T2,20,F,3,4,3,4,3
795,9.0,T2,20,F,3,4,3,4,3
796,10.0,T2,20,F,3,4,3,4,3
797,8.0,T2,20,F,3,4,3,4,3
798,12.0,T2,20,F,3,4,3,4,3
799,10.0,T2,20,F,3,4,3,4,3
800,9.0,T2,20,F,3,4,3,4,3
801,10.0,T2,20,F,3,4,4,4,4
802,10.0,T2,20,F,3,4,4,4,4
803,10.0,T2,20,F,3,4,4,4,4
804,8.0,T2,20,F,3,4,3,4,3
805,10.0,T2,20,F,3,4,3,4,3
806,9.0,T2,20,F,3,4,3,4,3
807,9.0,T2,20,F,3,4,4,4,4
808,8.0,T2,20,F,3,4,5,4,5
809,7.0,T2,20,F,3,4,4,4,4
810,11.0,T2,20,F,3,4,5,4,5
811,7.0,T2,20,F,3,4,3,4,3
812,10.0,T2,20,F,3,3,5,3,5
813,10.0,T2,20,F,3,3,5,3,5
